Category,Term (EN),Term (ES),Definition (EN),Definition (ES)
Architectures,End-to-End Neural Codec,Códec Neuronal End-to-End,A unified neural architecture that directly encodes raw audio into a compact token stream and decodes it back to audio without explicit intermediary linguistic representations.,Una arquitectura neuronal unificada que codifica directamente el audio crudo en un flujo compacto de tokens y lo decodifica de nuevo a audio sin representaciones lingüísticas intermedias explícitas.
Architectures,Generative TTS,TTS Generativo,Text-to-Speech models that use generative AI (such as language models or diffusion) to synthesize natural-sounding speech from text or semantic tokens.,Modelos de Texto a Voz que utilizan IA generativa (como modelos de lenguaje o difusión) para sintetizar habla de sonido natural a partir de texto o tokens semánticos.
Architectures,Joint Source-Channel Coding (JSCC),Codificación Conjunta Fuente-Canal (JSCC),"A method where source coding (compression) and channel coding (error protection) are optimized together, often using neural networks, to improve robustness over noisy channels.","Un método donde la codificación de fuente (compresión) y de canal (protección contra errores) se optimizan juntas, a menudo usando redes neuronales, para mejorar la robustez en canales ruidosos."
Architectures,Modular Cascade Pipeline,Pipeline Cascada Modular,"An architecture that explicitly separates speech into modules (Speech-to-Text, speaker encoder, prosody encoder) for transmission, and reconstructs it using Text-to-Speech (TTS).","Una arquitectura que separa explícitamente el habla en módulos (ASR, codificador de hablante, codificador de prosodia) para la transmisión, y la reconstruye usando Texto a Voz (TTS)."
Architectures,Neural Audio Codec,Códec Neuronal de Audio,"An audio compression system based on deep neural networks (typically autoencoders), replacing traditional signal processing codecs.","Un sistema de compresión de audio basado en redes neuronales profundas (típicamente autoencoders), que reemplaza a los códecs de procesamiento de señales tradicionales."
Architectures,Residual Vector Quantization (RVQ),Cuantización Vectorial Residual (RVQ),A technique used in neural codecs (like SoundStream and EnCodec) that cascades multiple vector quantizers to progressively compress the audio representation.,Una técnica utilizada en códecs neuronales (como SoundStream y EnCodec) que pone en cascada múltiples cuantizadores vectoriales para comprimir progresivamente la representación de audio.
General Concepts,Emotion / Affective State,Emoción / Estado Afectivo,"The emotional state conveyed through the voice, which is distinct from the linguistic content but crucial for natural communication.","El estado emocional transmitido a través de la voz, que es distinto del contenido lingüístico pero crucial para una comunicación natural."
General Concepts,Linguistic Content,Contenido Lingüístico,"The actual words spoken in a voice message, representing its lexical and syntactic meaning.","Las palabras exactas pronunciadas en un mensaje de voz, que representan su significado léxico y sintáctico."
General Concepts,Prosody,Prosodia,"The dynamic paralinguistic aspects of speech, including intonation, rhythm, emphasis, and pitch contours.","Los aspectos paralingüísticos dinámicos del habla, incluyendo la entonación, el ritmo, el énfasis y los contornos de tono."
General Concepts,Semantic Communication,Comunicación Semántica,A communication paradigm that focuses on transmitting the meaning or semantic content of a message rather than its exact physical signal representation (Shannon's Level B).,Un paradigma de comunicación que se centra en transmitir el significado o contenido semántico de un mensaje en lugar de su representación física exacta (Nivel B de Shannon).
General Concepts,Speaker Identity,Identidad del Hablante,"The static paralinguistic characteristics of a speaker's voice, such as timbre and vocal tract properties.","Las características paralingüísticas estáticas de la voz de un hablante, como el timbre y las propiedades del tracto vocal."
Metrics,Character Error Rate (CER),Character Error Rate (CER),"Similar to WER, but measures the error rate at the character level, often used for languages without explicit word boundaries.","Similar al WER, pero mide la tasa de error a nivel de carácter, a menudo usado para idiomas sin límites de palabras explícitos."
Metrics,Mean Opinion Score (MOS),Mean Opinion Score (MOS),"A subjective measure of the perceived quality of speech, typically rated on a scale from 1 (bad) to 5 (excellent).","Una medida subjetiva de la calidad percibida del habla, típicamente evaluada en una escala de 1 (malo) a 5 (excelente)."
Metrics,Real-Time Factor (RTF),Real-Time Factor (RTF),A metric indicating processing speed; it is the ratio of processing time to the duration of the audio. RTF < 1 indicates faster-than-real-time processing.,Una métrica que indica la velocidad de procesamiento; es la proporción del tiempo de procesamiento sobre la duración del audio. Un RTF < 1 indica un procesamiento más rápido que el tiempo real.
Metrics,Speaker Similarity (SIM),Similitud de Hablante (SIM),"A metric that measures how closely the reconstructed voice matches the original speaker's voice, often computed using cosine similarity of speaker embeddings.","Una métrica que mide qué tan de cerca coincide la voz reconstruida con la voz original del hablante, a menudo calculada usando la similitud coseno de los embeddings de hablante."
Metrics,Unweighted Average Recall (UAR),Unweighted Average Recall (UAR),A metric commonly used in Speech Emotion Recognition (SER) to evaluate classification accuracy across classes without bias toward majority classes.,Una métrica comúnmente utilizada en el Reconocimiento de Emociones del Habla (SER) para evaluar la precisión de clasificación entre clases sin sesgo hacia las clases mayoritarias.
Metrics,Word Error Rate (WER),Word Error Rate (WER),"A common metric for the performance of speech recognition, measuring the percentage of words incorrectly recognized (insertions, deletions, and substitutions).","Una métrica común para el rendimiento del reconocimiento de voz, que mide el porcentaje de palabras reconocidas incorrectamente (inserciones, eliminaciones y sustituciones)."
Network/Transmission,Bitrate,Tasa de Bits (Bitrate),"The amount of data transmitted per second, typically measured in kilobits per second (kbps). Ultra-low bitrate is a primary goal of semantic communication.","La cantidad de datos transmitidos por segundo, típicamente medida en kilobits por segundo (kbps). La tasa de bits ultrabaja es un objetivo principal de la comunicación semántica."
Network/Transmission,Forward Error Correction (FEC),Corrección de Errores Hacia Adelante (FEC),A technique for controlling errors in data transmission where the sender adds redundant data to its messages to allow the receiver to detect and correct errors.,Una técnica para el control de errores en la transmisión de datos donde el emisor añade datos redundantes a sus mensajes para permitir al receptor detectar y corregir errores.
Network/Transmission,Jitter,Jitter,"The variation in packet arrival time, which can disrupt real-time playback if not managed by a jitter buffer.","La variación en el tiempo de llegada de los paquetes, que puede interrumpir la reproducción en tiempo real si no es gestionada por un búfer de jitter."
Network/Transmission,Latency,Latencia,"The end-to-end delay in the communication system. For real-time voice, keeping latency under 300 ms is critical.","El retardo extremo a extremo en el sistema de comunicación. Para la voz en tiempo real, mantener la latencia por debajo de 300 ms es crítico."
Network/Transmission,Packet Loss,Pérdida de Paquetes,"The failure of one or more transmitted data packets to arrive at their destination, causing degradations in conventional codecs but handled via concealment in semantic systems.","El fallo de uno o más paquetes de datos transmitidos en llegar a su destino, causando degradaciones en códecs convencionales pero manejado mediante ocultación (concealment) en sistemas semánticos."
