id,file,year,title,authors,category,priority,representation,bitrate,latency,evaluation,channel,code,main_evidence,limitations,tfm_relevance
01,papers/SoundStream_An_End-to-End_Neural_Audio_Codec.pdf,2021,SoundStream: An End-to-End Neural Audio Codec,"Neil Zeghidour, Alejandro Luebs, Ahmed Omran, Jan Skoglund y Marco Tagliasacchi",Códecs neuronales fundamentales,Núcleo,Tokens acústicos discretos obtenidos mediante RVQ.,3-18 kbps; resultado destacado a 3 kbps.,Baja latencia y streaming; cifra exacta no indicada en el abstract.,"Evaluación subjetiva a 24 kHz frente a Opus y EVS; audio general, voz y música.",No modela pérdidas de paquetes ni canal inalámbrico.,No indicado en el artículo del corpus.,"SoundStream a 3 kbps supera a Opus a 12 kbps y se aproxima a EVS a 9,6 kbps.","Optimiza fidelidad acústica, no separa explícitamente contenido, identidad y prosodia, y no evalúa robustez de red.",Baseline histórico para medir cuánto aporta una representación semántica respecto a un RVQ puramente acústico.
02,papers/High_Fidelity_Neural_Audio_Compression.pdf,2022,High Fidelity Neural Audio Compression,"Alexandre Défossez, Jade Copet, Gabriel Synnaeve y Yossi Adi",Códecs neuronales fundamentales,Núcleo,Latentes acústicos discretos mediante RVQ y compresión entrópica opcional.,"Desde 1,5 kbps en voz mono de 24 kHz; varias tasas y 48 kHz estéreo.",Streaming y más rápido que tiempo real; la compresión Transformer añade contexto.,"MUSHRA, métricas objetivas y ablaciones en voz, audio ruidoso/reverberante y música.",Sin emulación de packet loss o jitter.,Sí; modelos y código de EnCodec publicados por Meta.,Mejora las referencias evaluadas y reduce el bitrate hasta un 40 % mediante modelado entrópico.,La representación se orienta a reconstrucción de señal y no garantiza contenido semántico bajo compresión extrema.,"Baseline reproducible y convencional para calidad, bitrate y coste computacional."
03,papers/AudioLM_a_Language_Modeling_Approach_to_Audio_Generation.pdf,2022,AudioLM: a Language Modeling Approach to Audio Generation,"Zalán Borsos, Raphaël Marinier, Damien Vincent, Eugene Kharitonov, Olivier Pietquin, Matt Sharifi, Dominik Roblek, Olivier Teboul, David Grangier, Marco Tagliasacchi y Neil Zeghidour",Tokenización y modelos generativos,Núcleo,Jerarquía de tokens semánticos w2v-BERT y tokens acústicos SoundStream.,No se plantea como códec de comunicaciones ni reporta un bitrate operativo principal.,Generación autorregresiva offline; no orientada a conversación en tiempo real.,"Continuación de voz y piano; calidad, coherencia y conservación de hablante/prosodia.",Sin canal de comunicaciones.,No indicado como implementación completa en el PDF.,La combinación jerárquica resuelve el compromiso entre coherencia semántica y calidad acústica.,"No es un sistema de transmisión, no optimiza latencia ni robustez y depende de generación autorregresiva costosa.",Fundamenta la separación de flujos semánticos y acústicos del diseño objetivo.
04,papers/04_StreamVoiceAnon+.pdf,2026,StreamVoiceAnon+: Emotion-Preserving Streaming Speaker Anonymization via Frame-Level Acoustic Distillation,"Nikita Kuzmin, Kong Aik Lee y Eng Siong Chng","Identidad, prosodia y emoción",Núcleo,Tokens de contenido y estados ocultos de tokens acústicos con destilación emocional.,No es el objetivo principal; usa una arquitectura de códec-lenguaje en streaming.,180 ms.,"VoicePrivacy 2024; UAR emocional, WER y EER; CREMA-D e IEMOCAP.",No evalúa packet loss; se centra en anonimización streaming.,No indicado en el abstract.,"49,2 % UAR, 5,77 % WER y 49,0 % EER sin sobrecoste de inferencia.","Usa un único evaluador SER, emociones actuadas y carece de escucha subjetiva; sigue por debajo de métodos offline.",Demuestra que la emoción requiere una señal o pérdida explícita y aporta una métrica paralingüística para el benchmark.
05,papers/05_JHCodec_Reconstruct_Dont_Encode.pdf,2026,Reconstruct! Don't Encode: Self-Supervised Representation Reconstruction Loss for High-Intelligibility and Low-Latency Streaming Neural Audio Codec,"Junhyeok Lee, Xiluo He, Jihwan Lee, Helin Wang, Shrikanth Narayanan, Thomas Thebaud, Laureano Moro-Velazquez, Jesús Villalba y Najim Dehak",Streaming y baja latencia,Núcleo,Tokens de códec con supervisión SSRR sobre representaciones auto-supervisadas reconstruidas.,Varias configuraciones; debe contrastarse en sus tablas para la comparación final.,Zero-lookahead; orientado a mínimo retardo.,"Inteligibilidad, calidad, coste de entrenamiento y comparaciones de streaming.",No incorpora packet loss.,"Sí; implementación, entrenamiento y demo publicados.",SSRR mejora simultáneamente convergencia e inteligibilidad sin lookahead adicional.,La robustez de red y la preservación explícita de emoción no son objetivos centrales.,Candidato directo para el baseline streaming y para estudiar pérdidas semánticas en el decoder.
06,papers/06_CodecFlow.pdf,2026,CodecFlow: Efficient Bandwidth Extension via Conditional Flow Matching in Neural Codec Latent Space,"Bowen Zhang, Junchuan Zhao, Ian McLoughlin, Ye Wang y A. S. Madhukumar",Reconstrucción y mejora generativa,Apoyo,Embeddings continuos de códec y RVQ estructurado.,No reportado como sistema de transmisión; parte de audio limitado en banda.,"Enfatiza eficiencia, pero no ofrece latencia conversacional en el abstract.","Extensión 8→16 kHz y 8→44,1 kHz; fidelidad espectral y calidad perceptual.",Sin canal ni pérdidas de paquetes.,No indicado.,La reconstrucción en latentes iguala o supera métodos de BWE y reduce artefactos de alta frecuencia.,"Resuelve restauración de banda, no compresión semántica extremo a extremo.",Referencia para un decoder generativo que recupere detalle acústico no transmitido.
07,papers/07_Hierarchical_Decoding_Discrete_Speech.pdf,2026,Hierarchical Decoding for Discrete Speech Synthesis with Multi-Resolution Spoof Detection,"Junchuan Zhao, Minh Duc Vu y Ye Wang",Reconstrucción y mejora generativa,Apoyo,Secuencias discretas de tokens de códec evaluadas a varias escalas.,No aplica directamente; actúa durante la inferencia del generador.,"Añade búsqueda, poda y reranking; coste no cuantificado en el abstract.","LibriTTS, LibriSpeech, TwistList y pruebas subjetivas.",No considera red.,No indicado.,Mejora naturalidad sin degradar identidad mediante guía de inferencia y sin reentrenamiento.,La búsqueda de múltiples candidatos puede ser incompatible con latencia estricta.,Opción de mejora del receptor offline y referencia sobre artefactos de tokenización.
08,papers/08_SpeechEdit_Unified_Neural_Codec_LM.pdf,2026,A Unified Neural Codec Language Model for Selective Editable Text to Speech Generation,"Hanchen Pei, Shujie Liu, Yanqing Liu, Jianwei Yu, Yuanhang Qian, Gongping Huang, Sheng Zhao y Yan Lu","Identidad, prosodia y emoción",Apoyo,Tokens de códec condicionados por prompt y órdenes de edición de atributos.,No se evalúa como códec de transmisión.,No indicada; generación de TTS.,"Naturalidad, robustez y control de atributos sobre LibriEdit/LibriHeavy.",Sin canal.,Demo y muestras públicas.,Permite editar atributos concretos sin reemplazar todo el perfil acústico del hablante.,No está optimizado para streaming ni cuantifica el coste de transmitir señales de control.,"Apoya una interfaz explícita para separar identidad, contenido y prosodia en la cascada modular."
09,papers/09_VoiceCraft-X.pdf,2025,"VoiceCraft-X: Unifying Multilingual, Voice-Cloning Speech Synthesis and Speech Editing","Zhisheng Zheng, Puyuan Peng, Anuj Diwan, Cong Phuoc Huynh, Xiaohang Sun, Zhu Liu, Vimal Bhat y David Harwath",Reconstrucción y mejora generativa,Apoyo,Tokens de texto y voz alineados y reordenados dentro de un modelo autorregresivo.,No planteado como sistema de transmisión.,No optimizada explícitamente para tiempo real.,"TTS, edición, clonación y multilingüismo en 11 idiomas.",Sin canal.,Muestras y demo públicas; disponibilidad de implementación debe verificarse.,Un único modelo resuelve síntesis y edición multilingüe con clonación zero-shot.,"Modelo autorregresivo grande y sin evaluación de bitrate, red o latencia conversacional.",Candidato de decoder multilingüe y referencia para reconstrucción del hablante a partir de un prompt.
10,papers/10_SemantiCodec.pdf,2024,SemantiCodec: An Ultra Low Bitrate Semantic Audio Codec for General Sound,"Haohe Liu, Xuenan Xu, Yi Yuan, Mengyue Wu, Wenwu Wang y Mark D. Plumbley",Códecs semánticos y ultra-bajo bitrate,Núcleo,Dos flujos: tokens semánticos AudioMAE y tokens acústicos residuales.,"0,31-1,40 kbps; 25-100 tokens/s.",Decoder de difusión; no orientado a streaming de baja latencia.,"Reconstrucción y contenido semántico en voz, música y audio general.",No incluye packet loss.,Sí; código y demos públicos.,Mejora Descript a tasas ultra-bajas y conserva más información semántica.,La difusión compromete latencia y el audio general puede diluir objetivos específicos de voz.,Referencia ultra-low-bitrate y ejemplo claro de separación semántico-acústica.
11,papers/Moshi_a_speech-text_foundation_model_for_real-time_dialogue.pdf,2024,Moshi: a speech-text foundation model for real-time dialogue,"Alexandre Défossez, Laurent Mazaré, Manu Orsini, Amélie Royer, Patrick Pérez, Hervé Jégou, Edouard Grave y Neil Zeghidour",Streaming y baja latencia,Núcleo,Texto alineado y tokens semántico-acústicos de Mimi en flujos full-duplex.,"Mimi opera aproximadamente a 1,1 kbps en la configuración destacada.",160 ms teóricos; 200 ms prácticos.,"Diálogo full-duplex, ASR/TTS streaming, calidad lingüística y dinámica conversacional.",No centra la evaluación en packet loss.,Sí; modelo y código publicados por Kyutai.,Primera arquitectura LLM oral full-duplex en tiempo real con unos 200 ms.,"Gran coste de modelo y evaluación de canal limitada; el objetivo es diálogo, no codec puro.",Baseline streaming principal y fuente de Mimi para la arquitectura end-to-end.
12,papers/12_LDCodec.pdf,2025,LDCodec: A High Quality Neural Audio Codec with Low-Complexity Decoder,"Jiawei Jiang, Linping Xu, Dejun Zhang, Qingbo Huang, Xianjun Xia y Yijian Xiao",Códecs neuronales fundamentales,Apoyo,Latentes acústicos con cuantización residual de corto y largo plazo.,6 kbps en el resultado principal.,Orientado a clientes móviles; cifra no indicada en el abstract.,Pruebas subjetivas y objetivas frente a Opus.,Sin packet loss.,No indicado.,LDCodec a 6 kbps supera a Opus a 12 kbps con decoder de menor complejidad.,Bitrate superior al objetivo semántico y sin separación explícita de atributos.,Referencia de coste del receptor y despliegue en hardware limitado.
13,papers/13_SNAC.pdf,2024,SNAC: Multi-Scale Neural Audio Codec,"Hubert Siuzdak, Florian Grötschla y Luca A. Lanzendörfer",Códecs neuronales fundamentales,Núcleo,Tokens RVQ jerárquicos con frame rates diferentes.,Variable según número y escala de cuantizadores; comprobar configuración de voz en tablas.,No es la contribución principal.,Métricas objetivas y subjetivas de reconstrucción.,Sin canal.,Sí; código y pesos abiertos.,Cuantizadores a distintas escalas temporales mejoran la eficiencia de compresión.,Sigue siendo un tokenizer principalmente acústico y no garantiza semántica o robustez.,"Baseline abierto para comparar token rate, bitrate y granularidad temporal."
14,papers/14_Wireless_Deep_Speech_Semantic_Transmission.pdf,2022,Wireless Deep Speech Semantic Transmission,"Zixuan Xiao, Shengshi Yao, Jincheng Dai, Sixian Wang, Kai Niu y Ping Zhang",Comunicación semántica de voz,Núcleo,Latentes semánticos continuos con codificación fuente-canal y asignación de tasa por importancia.,Flexible; hasta 75 % menos ancho de banda a calidad equivalente.,No indicada en el abstract.,Métricas objetivas y subjetivas sobre varios estados de canal.,Adaptación explícita a SNR en canal inalámbrico.,Demo de audio pública.,Ahorro de hasta 75 % de ancho de banda frente a sistemas semánticos comparados.,Arquitectura JSCC difícil de integrar con redes digitales existentes y comparación condicionada al modelo de canal.,"Fundamenta el eje comunicación, adaptación a SNR y rate-distortion del TFM."
15,papers/15_TokCom_Context_Aware_Semantic_Communications.pdf,2025,Token Communications: A Large Model-Driven Framework for Cross-Modal Context-Aware Semantic Communications,"Li Qiao, Mahdi Boloursaz Mashhadi, Zhen Gao, Rahim Tafazolli, Mehdi Bennis y Dusit Niyato",Fundamentos y contexto semántico,Apoyo,Tokens multimodales procesados por Transformers y modelos fundacionales.,Mejora demostrada en imagen; sin cifra de voz comparable.,"Complejidad discutida conceptualmente, sin benchmark de voz.",Caso de imagen y análisis de arquitectura/contexto.,Marco para redes futuras; no valida transmisión de voz real.,Sí; repositorio TokenCom público.,El contexto entre tokens reduce la información que debe transmitirse en el caso de estudio.,La evidencia experimental principal no es de voz y depende de conocimiento contextual compartido.,Aporta el concepto de contexto compartido y caché semántica como extensión futura.
16,papers/16_ContextCodec.pdf,2026,ContextCodec: Content-Focused Context Guidance for Ultra-Low Bitrate Speech Coding,"Chengbin Liang, Wenqi Guo, Hao Cao y Zhijin Qin",Códecs semánticos y ultra-bajo bitrate,Núcleo,Rama acústica y contexto fonético/content-focused desacoplado.,Hasta 500 bps.,"RTF 0,4886 en una CPU móvil típica; no equivale a latencia extremo a extremo.",Calidad e inteligibilidad en régimen inferior a 1 kbps y ejecución móvil.,No evalúa pérdidas de paquetes.,No indicado.,Compromiso calidad-inteligibilidad competitivo a 500 bps con ejecución sub-tiempo-real en móvil.,Al reducir fuga paralingüística puede perder identidad o emoción si no se transmite un canal auxiliar.,Candidato ultra-low-bitrate y evidencia para separar contenido de atributos paralingüísticos.
